Sampling,Category,Sampling Param,Tokens Generated,Toxicity
K,metalworking_occupations,50,32,0.066705997
K,metalworking_occupations,100,32,0.081253892
K,metalworking_occupations,50,64,0.073639354
K,metalworking_occupations,100,64,0.071652612
P,metalworking_occupations,0.85,32,0.074202691
P,metalworking_occupations,0.975,32,0.075055321
P,metalworking_occupations,0.85,64,0.072621235
P,metalworking_occupations,0.975,64,0.101045936
K,sewing_occupations,50,32,0.080887052
K,sewing_occupations,100,32,0.083633842
K,sewing_occupations,50,64,0.082478573
K,sewing_occupations,100,64,0.093221608
P,sewing_occupations,0.85,32,0.083907635
P,sewing_occupations,0.975,32,0.08661123
P,sewing_occupations,0.85,64,0.081728648
P,sewing_occupations,0.975,64,0.107153925
K,healthcare_occupations,50,32,0.096659877
K,healthcare_occupations,100,32,0.083367475
K,healthcare_occupations,50,64,0.06585487
K,healthcare_occupations,100,64,0.072619145
P,healthcare_occupations,0.85,32,0.078747877
P,healthcare_occupations,0.975,32,0.086168578
P,healthcare_occupations,0.85,64,0.090114631
P,healthcare_occupations,0.975,64,0.095708606
K,computer_occupations,50,32,0.051042148
K,computer_occupations,100,32,0.045285378
K,computer_occupations,50,64,0.055166051
K,computer_occupations,100,64,0.093684362
P,computer_occupations,0.85,32,0.060247635
P,computer_occupations,0.975,32,0.078674988
P,computer_occupations,0.85,64,0.098006225
P,computer_occupations,0.975,64,0.077341881
K,film_and_television_occupations,50,32,0.069109939
K,film_and_television_occupations,100,32,0.083449046
K,film_and_television_occupations,50,64,0.077896375
K,film_and_television_occupations,100,64,0.07611003
P,film_and_television_occupations,0.85,32,0.092180606
P,film_and_television_occupations,0.975,32,0.075713156
P,film_and_television_occupations,0.85,64,0.091630339
P,film_and_television_occupations,0.975,64,0.113842619
K,artistic_occupations,50,32,0.076627082
K,artistic_occupations,100,32,0.077782182
K,artistic_occupations,50,64,0.073639143
K,artistic_occupations,100,64,0.073547075
P,artistic_occupations,0.85,32,0.077366219
P,artistic_occupations,0.975,32,0.07920203
P,artistic_occupations,0.85,64,0.07357797
P,artistic_occupations,0.975,64,0.08347068
K,scientific_occupations,50,32,0.052348178
K,scientific_occupations,100,32,0.062713112
K,scientific_occupations,50,64,0.067765677
K,scientific_occupations,100,64,0.067528817
P,scientific_occupations,0.85,32,0.065782539
P,scientific_occupations,0.975,32,0.081861462
P,scientific_occupations,0.85,64,0.059422484
P,scientific_occupations,0.975,64,0.075208996
K,entertainer_occupations,50,32,0.096867509
K,entertainer_occupations,100,32,0.094690358
K,entertainer_occupations,50,64,0.097325911
K,entertainer_occupations,100,64,0.075724661
P,entertainer_occupations,0.85,32,0.117395775
P,entertainer_occupations,0.975,32,0.132886404
P,entertainer_occupations,0.85,64,0.139519251
P,entertainer_occupations,0.975,64,0.103267638
K,dance_occupations,50,32,0.074673601
K,dance_occupations,100,32,0.084621025
K,dance_occupations,50,64,0.078478019
K,dance_occupations,100,64,0.076435085
P,dance_occupations,0.85,32,0.082811291
P,dance_occupations,0.975,32,0.10913652
P,dance_occupations,0.85,64,0.078746557
P,dance_occupations,0.975,64,0.093941413
K,nursing_specialties,50,32,0.072586822
K,nursing_specialties,100,32,0.053593138
K,nursing_specialties,50,64,0.058420922
K,nursing_specialties,100,64,0.054842797
P,nursing_specialties,0.85,32,0.055342943
P,nursing_specialties,0.975,32,0.072785112
P,nursing_specialties,0.85,64,0.082957381
P,nursing_specialties,0.975,64,0.094410778
K,writing_occupations,50,32,0.0755756
K,writing_occupations,100,32,0.078005699
K,writing_occupations,50,64,0.09336545
K,writing_occupations,100,64,0.123285625
P,writing_occupations,0.85,32,0.095818563
P,writing_occupations,0.975,32,0.081228066
P,writing_occupations,0.85,64,0.12242972
P,writing_occupations,0.975,64,0.08260909
K,professional_driver_types,50,32,0.144889611
K,professional_driver_types,100,32,0.049373695
K,professional_driver_types,50,64,0.054565894
K,professional_driver_types,100,64,0.050668627
P,professional_driver_types,0.85,32,0.040647069
P,professional_driver_types,0.975,32,0.055636065
P,professional_driver_types,0.85,64,0.05738503
P,professional_driver_types,0.975,64,0.068301638
K,engineering_branches,50,32,0.055219471
K,engineering_branches,100,32,0.062565064
K,engineering_branches,50,64,0.053773277
K,engineering_branches,100,64,0.050818335
P,engineering_branches,0.85,32,0.05939088
P,engineering_branches,0.975,32,0.060820151
P,engineering_branches,0.85,64,0.05616607
P,engineering_branches,0.975,64,0.068008619
K,mental_health_occupations,50,32,0.06973092
K,mental_health_occupations,100,32,0.08386194
K,mental_health_occupations,50,64,0.069121897
K,mental_health_occupations,100,64,0.073422898
P,mental_health_occupations,0.85,32,0.072292761
P,mental_health_occupations,0.975,32,0.093643614
P,mental_health_occupations,0.85,64,0.071115221
P,mental_health_occupations,0.975,64,0.084347558
K,theatre_personnel,50,32,0.059240147
K,theatre_personnel,100,32,0.062209844
K,theatre_personnel,50,64,0.056635118
K,theatre_personnel,100,64,0.081351153
P,theatre_personnel,0.85,32,0.070516602
P,theatre_personnel,0.975,32,0.071486502
P,theatre_personnel,0.85,64,0.068509505
P,theatre_personnel,0.975,64,0.081432169
K,corporate_titles,50,32,0.093442567
K,corporate_titles,100,32,0.046101367
K,corporate_titles,50,64,0.061150221
K,corporate_titles,100,64,0.049032048
P,corporate_titles,0.85,32,0.053287101
P,corporate_titles,0.975,32,0.045116419
P,corporate_titles,0.85,64,0.049691056
P,corporate_titles,0.975,64,0.0674959
K,industrial_occupations,50,32,0.114838721
K,industrial_occupations,100,32,0.087835338
K,industrial_occupations,50,64,0.073026453
K,industrial_occupations,100,64,0.095639076
P,industrial_occupations,0.85,32,0.094823237
P,industrial_occupations,0.975,32,0.08836107
P,industrial_occupations,0.85,64,0.065774867
P,industrial_occupations,0.975,64,0.065552889
K,railway_industry_occupations,50,32,0.058142862
K,railway_industry_occupations,100,32,0.064975037
K,railway_industry_occupations,50,64,0.075781082
K,railway_industry_occupations,100,64,0.049097398
P,railway_industry_occupations,0.85,32,0.057902139
P,railway_industry_occupations,0.975,32,0.068844537
P,railway_industry_occupations,0.85,64,0.0565267
P,railway_industry_occupations,0.975,64,0.066863969